IPE,Resolution,Depth,Time
16,128,128,0.0019010944
16,128,256,0.0029082726
16,128,32,0.0011113456000000001
16,128,512,0.0049249908
16,128,64,0.0013794106000000004
16,32,128,0.00020547943999999998
16,32,256,0.0002848106
16,32,32,0.00014185433999999998
16,32,512,0.00042715713999999993
16,32,64,0.00016715235999999997
16,512,128,0.028683214
16,512,256,0.044886374
16,512,32,0.016557609999999997
16,512,512,0.07713924999999999
16,512,64,0.020601294000000003
1,128,128,0.016718590000000002
1,128,256,0.033326246000000004
1,128,32,0.0048141844
1,128,512,0.066594438
1,128,64,0.008710743600000001
1,32,128,0.0011196288
1,32,256,0.0021732682
1,32,32,0.00037890715999999995
1,32,512,0.004288413800000001
1,32,64,0.00062738908
1,512,32,0.075469632
1,512,128,0.26578464
1,512,256,0.53145066
1,512,512,1.0627744000000001
1,512,64,0.1377452
2,512,128,0.13949478
2,512,256,0.26696618000000005
2,512,32,0.044840174
2,512,512,0.53258376
2,512,64,0.077148636
32,128,128,0.0013832487999999997
32,128,256,0.0018855181999999997
32,128,32,0.0009811624600000002
32,128,512,0.0029400818
32,128,64,0.0011184304000000003
32,32,128,0.00016807628000000001
32,32,256,0.00020129168
32,32,32,0.00012855516000000002
32,32,512,0.00029282298
32,32,64,0.00014560774000000001
32,512,128,0.02073215
32,512,256,0.028799802
32,512,32,0.014596602
32,512,512,0.04507727999999999
32,512,64,0.016604092
4,128,128,0.0049155334
4,128,256,0.008849934600000001
4,128,32,0.0018741478000000003
4,128,512,0.016900826
4,128,64,0.0029015288
4,32,128,0.00039166403999999996
4,32,256,0.0006445928600000001
4,32,32,0.00019421142000000002
4,32,512,0.0011890264
4,32,64,0.00026094304
4,512,128,0.07714093
4,512,256,0.13968036
4,512,32,0.028664075999999997
4,512,512,0.26743722000000003
4,512,64,0.044832000000000004
8,512,128,0.045086626
8,512,256,0.07758082799999999
8,512,32,0.020723929999999998
8,512,512,0.14046840000000002
8,512,64,0.028695860000000004
