exec_time,write_time,read_time
0.0288713,0.0717821,0.0231745
0.0289179,0.0718122,0.0192219
0.0288666,0.0723905,0.0192226
0.0289124,0.0724741,0.0188454
0.028864,0.0724734,0.0192752
0.0288979,0.0728407,0.019249
0.0288907,0.0727716,0.019282
0.0288736,0.0726442,0.0188865
0.0288751,0.0729755,0.0194291
0.028863,0.0742779,0.0195366
0.0288333,0.0747603,0.0193088
0.0289045,0.0758665,0.0214008
0.0288364,0.0737195,0.0195683
0.0288797,0.0773063,0.0209892
0.0288635,0.0740942,0.019496
0.028855,0.0723074,0.0194409
0.0288622,0.0747112,0.0191614
0.0288835,0.0728578,0.0193926
0.0288609,0.0724725,0.0192556
0.0289019,0.0724164,0.0196561
0.0288599,0.0728605,0.0192808
0.0288806,0.072505,0.0192531
0.0288612,0.0727615,0.0192085
0.0288996,0.0750056,0.0192496
0.0288573,0.0724825,0.01927
0.0288869,0.0728318,0.0192573
0.0288489,0.0768986,0.0203341
0.0289067,0.0800524,0.0191778
0.0288501,0.0760626,0.019255
0.0288567,0.0792806,0.0202384
0.0288512,0.0748851,0.0195129
0.0288582,0.0826307,0.0211588
0.028856,0.0721995,0.0193095
0.0288876,0.0727852,0.0192393
0.0288495,0.0813715,0.0226412
0.0288852,0.0726368,0.0189865
0.0288647,0.0723527,0.0191485
0.0288871,0.0731614,0.0192654
0.028859,0.0728558,0.0192878
0.0289005,0.0730884,0.0190013
0.0288578,0.0731071,0.0192626
0.0288844,0.0728493,0.018819
0.0288535,0.0739555,0.0193033
0.028884,0.0722826,0.0191707
0.0288724,0.0725347,0.0193091
0.0289015,0.0729352,0.0192838
0.0288695,0.0730161,0.0192392
0.0288844,0.0727063,0.01921
0.0288355,0.0715106,0.0187836
0.0288674,0.0714561,0.018744
0.0207458,0.0362674,0.0120988
0.0207117,0.036261,0.00964706
0.0206695,0.0364209,0.00964715
0.0205973,0.0363576,0.00967435
0.020637,0.0363885,0.00941889
0.0207509,0.0362722,0.0120182
0.0207041,0.0364442,0.00957991
0.0207245,0.0364898,0.00958289
0.0206211,0.0365666,0.00960356
0.0207196,0.0366829,0.0095883
0.0206076,0.0366022,0.00963448
0.0207116,0.0366981,0.00964576
0.0206591,0.0367052,0.00965146
0.0207109,0.036817,0.00959592
0.0206802,0.0365743,0.00964962
0.0207132,0.0365535,0.00968185
0.0206935,0.0365902,0.00963312
0.0207007,0.036292,0.00962785
0.020673,0.0364033,0.00960117
0.0207036,0.0364658,0.00957026
0.0206943,0.0364893,0.00957191
0.0205993,0.0362383,0.00958122
0.0206359,0.0364309,0.00958368
0.0206011,0.0364088,0.00956408
0.0206969,0.0363306,0.00958112
0.0205991,0.0362595,0.00956182
0.0206917,0.0362794,0.00958255
0.0207012,0.0364657,0.00956039
0.0206167,0.0364476,0.00956783
0.0207046,0.0362586,0.00958195
0.0206043,0.0362816,0.00958668
0.0207166,0.0364612,0.00957683
0.0206067,0.0363467,0.00957121
0.020692,0.0363669,0.009586
0.0207005,0.0364107,0.00957529
0.0206925,0.0362851,0.00956989
0.0206937,0.0364745,0.00958681
0.0207077,0.0362568,0.0095774
0.0206324,0.0364152,0.00957595
0.0207241,0.0363509,0.00960293
0.020678,0.0362644,0.00956266
0.0207153,0.0362574,0.00958302
0.0206759,0.0362872,0.00956275
0.020701,0.0362891,0.00932304
0.0206933,0.0357066,0.00930426
0.0207097,0.0362447,0.00956032
0.0206688,0.0364193,0.00957161
0.0206975,0.0364837,0.00955623
0.0206732,0.0363084,0.0096078
0.020711,0.0364687,0.00955948
0.0206065,0.0362453,0.00956031
0.0207106,0.0363185,0.00956207
0.0206945,0.0363801,0.00956613
0.0205957,0.0363347,0.00956896
0.0206935,0.0364267,0.0095774
